69|450|278|70|69|69|69|0|69|69|69|69|69|69|2570059.58|1285.06|655540.01|77802|1806604979|3177735482|591112647|5460018407|176|69|69|69|69|69|;
1001-18-000030-00|1|1|1|71|43281|43646||20|2|3261|28003|A_|1|1521.66|0.76|767.08|76|54357580|260783516|78907001|394048097|1|3|20180801|0|1|32837341.4166667|;
1001-18-000030-00|2|1|1|71|43281|43646||20|2|3261|19046|A_|1|35.76|0.02|18.03|2|0|9006528|0|9006528|1|3|20180801|0|1|750544|;
1001-18-000030-00|3|1|1|71|43281|43646||20|2|3261|24028|A_|1|39.02|0.02|19.67|2|0|7202832|0|7202832|1|3|20180801|0|1|600236|;
1001-18-000030-00|4|1|1|71|43281|43646||20|2|3261|15121|B_|1|26.01|0.01|13.12|1|0|532274|0|532274|1|3|20180801|0|1|44356.1666666667|;
1001-18-000030-00|5|1|1|71|43281|43646||20|2|3261|28003|A_|1|39.02|0.02|19.66|2|0|4777207|0|4777207|1|3|20180801|0|1|398100.583333333|;
1001-18-000037-00|1|1|1|71|43327|43646||20|2|3261|29042|B_|1|147992.13|74.01|64021.69|7400|26577662|482784979|237870483|747233124|1|3|20180926|0|1|62269427|;
1001-18-000037-00|2|1|1|71|43327|43646||20|2|3261|30039|B_|1|4605.18|2.31|1992.21|230|23235512|0|0|23235512|1|3|20180926|0|1|1936292.66666667|;
1001-18-000037-00|3|1|1|71|43327|43646||20|2|3261|15121|B_|1|203.17|0.11|87.89|10|0|1549088|0|1549088|1|3|20180926|0|1|129090.666666667|;
1001-18-000037-00|4|1|1|71|43327|43646||20|2|3261|2004|C_|1|287.82|0.15|124.51|14|0|869342|0|869342|1|3|20180926|0|1|72445.1666666667|;
1001-18-000037-00|5|1|1|71|43327|43646||20|2|3261|19026|A_|1|118.51|0.06|51.27|6|0|881946|0|881946|1|3|20180926|0|1|73495.5|;
1001-18-000037-00|6|1|1|71|43327|43646||20|2|3261|26030|B_|1|141.09|0.07|61.03|7|0|429489|0|429489|1|3|20180926|0|1|35790.75|;
1001-18-000037-00|7|1|1|71|43327|43646||20|2|3261|7087|D_|1|976.34|0.49|422.36|49|0|2951023|0|2951023|1|3|20180926|0|1|245918.583333333|;
1001-18-000037-00|8|1|1|71|43327|43646||20|2|3261|28003|A_|1|5491.23|2.75|2375.51|275|0|41594123|0|41594123|1|3|20180926|0|1|3466176.91666667|;
1001-18-000037-00|9|1|1|71|43327|43646||20|2|3261|30193|B_|1|11744.33|5.87|5080.62|587|0|59310328|0|59310328|1|3|20180926|0|1|4942527.33333333|;
1001-18-000037-00|10|1|1|71|43327|43646||20|2|3261|29042|B_|1|2804.87|1.4|1213.4|140|0|14151759|0|14151759|1|3|20180926|0|1|1179313.25|;
1001-18-000037-00|11|1|1|71|43327|43646||20|2|3261|30193|B_|1|95.94|0.05|41.5|5|0|465940|0|465940|1|3|20180926|0|1|38828.3333333333|;
1001-18-000037-00|12|1|1|71|43327|43646||20|2|3261|19045|A_|1|174.95|0.09|75.68|9|0|1310126|0|1310126|1|3|20180926|0|1|109177.166666667|;
1001-18-000037-00|13|1|1|71|43327|43646||20|2|3261|11027|B_|1|50.79|0.02|21.97|3|0|227968|0|227968|1|3|20180926|0|1|18997.3333333333|;
1001-18-000037-00|14|1|1|71|43327|43646||20|2|3261|33001|SZ|1|135.44|0.06|58.59|7|0|521657|0|521657|1|3|20180926|0|1|43471.4166666667|;
1001-18-000037-00|15|1|1|71|43327|43646||20|2|3261|33001|SZ|1|253.96|0.13|109.86|13|0|959558|0|959558|1|3|20180926|0|1|79963.1666666667|;
1001-18-000037-00|16|1|1|71|43327|43646||20|2|3261|33001|SZ|1|767.53|0.38|332.03|38|0|1662497|0|1662497|1|3|20180926|0|1|138541.416666667|;
1001-18-000037-00|17|1|1|71|43327|43646||20|2|3261|33001|SZ|1|338.62|0.17|146.48|17|0|727576|0|727576|1|3|20180926|0|1|60631.3333333333|;
1001-18-000037-00|18|1|1|71|43327|43646||20|2|3261|33001|SZ|1|95.94|0.05|41.5|5|0|363555|0|363555|1|3|20180926|0|1|30296.25|;
1001-18-000037-00|19|1|1|71|43327|43646||20|2|3261|33001|SZ|1|135.44|0.06|58.59|7|0|526597|0|526597|1|3|20180926|0|1|43883.0833333333|;
1001-18-000037-00|20|1|1|71|43327|43646||20|2|3261|33001|SZ|1|191.89|0.1|83.01|10|0|727576|0|727576|1|3|20180926|0|1|60631.3333333333|;
1001-18-000053-00|1|1|1|71|43373|43738||10|1|3251|15045|B_|1|27273|13.63|6874.29|1364|26665000|29750000|97500000|153915000|1|3|20181023|0|1|12826250|;
1001-18-000053-00|2|1|1|71|43373|43738||10|1|3251|9116|E_|1|155|0.07|39.07|8|0|250000|0|250000|1|3|20181023|0|1|20833.3333333333|;
