1001-18-000078-00|4|1|1|20181128|20191128||20|2|3261|14098|119.91|0.47|10.83|13|319240|16291|0|1|2|335531|0|20181228|0|1|0.9025|;
1001-18-000078-00|5|1|1|20181128|20191128||20|2|3261|14098|3516.58|14.06|317.94|381|693174|1207218|0|1|2|2183530|283138|20181228|0|1|26.495|;
1001-18-000078-00|6|1|1|20181128|20191128||20|2|3261|14097|310.58|1.24|28.08|34|82920|73032|0|1|2|155952|0|20181228|0|1|2.34|;
1001-18-000078-00|7|1|1|20181128|20191128||20|2|3261|14120|108.12|0.44|9.78|12|222273|85086|0|1|2|307359|0|20181228|0|1|0.815|;
1001-18-000078-00|8|1|1|20181128|20191128||20|2|3261|14120|485.52|1.94|43.90|53|744148|318919|0|1|2|1063067|0|20181228|0|1|3.65833333333333|;
1001-18-000078-00|9|1|1|20181128|20191128||20|2|3261|14120|171.02|0.68|15.47|19|165838|85044|0|1|2|250882|0|20181228|0|1|1.28916666666667|;
1001-18-000078-00|10|1|1|20181128|20191128||20|2|3261|14097|1668.85|6.68|150.88|181|842675|0|0|1|2|842675|0|20181228|0|1|12.5733333333333|;
1001-18-000080-00|1|1|1|20181231|20191231||20|2|3221|2002|152830.89|611.32|418.72|0|28660334|206830452|0|1|3|235490786|0|20181228|0|1|34.8933333333333|;
1001-18-000080-00|2|1|1|20181231|20191231||20|2|3221|2002|119816.29|479.27|328.27|0|22078021|160860858|0|1|3|182938879|0|20181228|0|1|27.3558333333333|;
1001-18-000080-00|3|1|1|20181231|20191231||20|2|3221|2002|11872.27|47.49|32.53|0|49065808|0|0|1|3|49065808|0|20181228|0|1|2.71083333333333|;
1001-18-000080-00|4|1|1|20181231|20191231||20|2|3221|2002|140349.91|561.41|384.51|0|31925487|182368184|0|1|3|214293671|0|20181228|0|1|32.0425|;
1001-18-000080-00|5|1|1|20181231|20191231||20|2|3221|2002|27853.73|111.42|76.31|0|16003310|26524498|0|1|3|42527808|0|20181228|0|1|6.35916666666667|;
1001-18-000080-00|6|1|1|20181231|20191231||20|2|3221|14070|120861.05|483.44|331.13|0|42236849|142299523|0|1|3|184536372|0|20181228|0|1|27.5941666666667|;
1001-18-000080-00|7|1|1|20181231|20191231||20|2|3221|19012|51451.76|205.81|140.96|0|22664539|55892910|0|1|3|78557449|0|20181228|0|1|11.7466666666667|;
1001-18-000081-00|1|1|1|20181231|20191231||20|6|3221|2002|251259.06|1005.04|688.37|0|84219113|262660012|0|1|3|346879125|0|20181228|0|1|57.3641666666667|;
1001-18-000081-00|2|1|1|20181231|20191231||20|6|3221|2002|170.86|0.68|0.46|0|0|1596660|0|1|3|1596660|0|20181228|0|1|0.0383333333333333|;
1001-18-000081-00|3|1|1|20181231|20191231||20|6|3221|2002|474.17|1.90|1.30|0|3187444|1129944|0|1|3|4317388|0|20181228|0|1|0.108333333333333|;
A1002-18-000002-00|2|1|1|20180331|20190331||10|2|5242|2004|1061.00|4.24|799.37|133|75000|350000|0|5|2|425000|0|20180402|0|1|66.6141666666667|;
A1002-18-000002-00|3|1|1|20180331|20190331||10|2|5242|8037|107.00|0.42|80.61|13|75000|650000|0|5|2|725000|0|20180402|0|1|6.7175|;
A1002-18-000002-00|4|1|1|20180331|20190331||10|2|5242|11020|23.00|0.08|17.32|3|25000|138000|0|5|2|163000|0|20180402|0|1|1.44333333333333|;
A1002-18-000002-00|5|1|1|20180331|20190331||10|2|5242|14039|1952.00|7.80|1470.68|245|5000000|10836126|0|11|2|15836126|0|20180402|0|1|122.556666666667|;
A1002-18-000002-00|6|1|1|20180331|20190331||10|2|5242|9015|9172.00|36.69|6910.40|1152|25000000|37500000|0|30|2|62500000|10000000|20180402|0|1|575.866666666667|;
A1002-18-000002-00|7|1|1|20180331|20190331||10|2|5242|9003|586.00|2.34|441.49|74|210000|2516000|0|1|2|2726000|0|20180402|0|1|36.7908333333333|;
A1002-18-000002-00|8|1|1|20180331|20190331||10|2|5242|9002|1421.00|5.68|1070.61|178|0|8320000|0|1|2|8320000|0|20180402|0|1|89.2175|;
A1002-18-000002-00|9|1|1|20180331|20190331||10|2|5242|15057|949.00|3.80|714.99|119|1000000|5500000|0|10|2|6500000|0|20180402|0|1|59.5825|;
A1002-18-000002-00|10|1|1|20180331|20190331||10|2|5242|19019|1044.00|4.18|786.57|131|250000|6500000|0|11|2|6750000|0|20180402|0|1|65.5475|;
A1002-18-000002-00|11|1|1|20180331|20190331||10|2|5242|21119|124.00|0.50|93.42|16|250000|550000|0|11|2|800000|0|20180402|0|1|7.785|;
A1002-18-000002-00|12|1|1|20180331|20190331||10|2|5242|22014|46.00|0.18|34.65|6|25000|300000|0|5|2|325000|0|20180402|0|1|2.8875|;
A1002-18-000002-00|13|1|1|20180331|20190331||10|2|5242|1001|26.00|0.10|19.59|3|25000|150000|0|11|2|175000|0|20180402|0|1|1.6325|;
A1002-18-000002-00|14|1|1|20180331|20190331||10|2|5242|26030|10.00|0.03|7.53|1|25000|50000|0|5|2|75000|0|20180402|0|1|0.6275|;
A1002-18-000006-00|1|1|1|20180413|20190413||20|2|2211|9010|55467.22|221.87|39814.82|8875|0|112183847|0|1|2|144411658|64455622|20180507|0|1|3317.90166666667|;
A1002-18-000007-00|2|1|1|20180430|20190430||20|1|3131|15051|1111692.42|4446.77|746204.50|176426|137509803|431155719|0|1|2|607967922|39302400|20180509|0|1|62183.7083333333|;
A1002-18-000007-00|3|1|1|20180430|20190430||20|1|3131|15051|2210420.77|8841.67|1483707.09|350794|259668834|462027656|0|2|2|687792000|39302400|20180509|0|1|123642.2575|;
A1002-18-000007-00|4|1|1|20180430|20190430||20|1|3131|15051|113006.31|452.03|75853.55|17934|39302400|0|0|2|2|39302400|0|20180509|0|1|6321.12916666667|;
A1002-18-000007-00|5|1|1|20180430|20190430||20|1|3131|9004|789.28|3.16|529.80|125|0|3930240|0|5|2|3930240|0|20180509|0|1|44.15|;
A1002-18-000007-00|6|1|1|20180430|20190430||20|1|3131|9015|2328.40|9.31|1562.89|370|0|6386640|0|3|2|6386640|0|20180509|0|1|130.240833333333|;
A1002-18-000020-00|1|210|2|20180601|20190601||10|1|9499|17028|29345.03|117.38|17124.63|7336|889248601|9500000|0|2|3|900748601|2000000|20180616|0|1|1427.0525|;
