69|450|278|70|69|69|69|0|69|69|69|69|69|69|69|69|2570059.58|1285.06|655540.01|77802|1806604979|3177735482|591112647|5460018407|176|117|69|69|69|69|69|;
1001-18-000030-00|1|1|1|071|43281|43646||20|02|3261|28003|A_|1|1|01|1521.66|0.76|767.08|76|54357580|260783516|78907001|394048097|1|1|3|20180801|0|01|1|;
1001-18-000030-00|2|1|1|071|43281|43646||20|02|3261|19046|A_|1|1|01|35.76|0.02|18.03|2|0|9006528|0|9006528|1|2|3|20180801|0|01|1|;
1001-18-000030-00|3|1|1|071|43281|43646||20|02|3261|24028|A_|1|1|01|39.02|0.02|19.67|2|0|7202832|0|7202832|1|2|3|20180801|0|01|1|;
1001-18-000030-00|4|1|1|071|43281|43646||20|02|3261|15121|B_|1|1|01|26.01|0.01|13.12|1|0|532274|0|532274|1|2|3|20180801|0|01|1|;
1001-18-000030-00|5|1|1|071|43281|43646||20|02|3261|28003|A_|1|1|01|39.02|0.02|19.66|2|0|4777207|0|4777207|1|2|3|20180801|0|01|1|;
1001-18-000037-00|1|1|1|071|43327|43646||20|02|3261|29042|B_|1|1|01|147992.13|74.01|64021.69|7400|26577662|482784979|237870483|747233124|1|1|3|20180926|0|01|1|;
1001-18-000037-00|2|1|1|071|43327|43646||20|02|3261|30039|B_|1|1|01|4605.18|2.31|1992.21|230|23235512|0|0|23235512|1|2|3|20180926|0|01|1|;
1001-18-000037-00|3|1|1|071|43327|43646||20|02|3261|15121|B_|1|1|01|203.17|0.11|87.89|10|0|1549088|0|1549088|1|2|3|20180926|0|01|1|;
1001-18-000037-00|4|1|1|071|43327|43646||20|02|3261|02004|C_|1|1|01|287.82|0.15|124.51|14|0|869342|0|869342|1|2|3|20180926|0|01|1|;
1001-18-000037-00|5|1|1|071|43327|43646||20|02|3261|19026|A_|1|1|01|118.51|0.06|51.27|6|0|881946|0|881946|1|2|3|20180926|0|01|1|;
1001-18-000037-00|6|1|1|071|43327|43646||20|02|3261|26030|B_|1|1|01|141.09|0.07|61.03|7|0|429489|0|429489|1|2|3|20180926|0|01|1|;
