1001-18-000080-00|4|1|1|20181228|20181231|20191231||20|2|21|21600|2|1|21590.56|10.8|59.15|0|31925487|182368184|0|0|214293671|1|3|0|1|214293671|;
1001-18-000080-00|5|1|1|20181228|20181231|20191231||20|2|21|21600|2|1|4285.34|2.15|11.75|0|16003310|26524498|0|0|42527808|1|3|0|1|42527808|;
1001-18-000080-00|6|1|1|20181228|20181231|20191231||20|2|21|45685|2|1|6263.16|3.13|17.16|0|42236849|142299523|0|0|184536372|1|3|0|1|184536372|;
1001-18-000080-00|7|1|1|20181228|20181231|20191231||20|2|21|65580|2|1|1763.29|0.88|4.82|0|22664539|55892910|0|0|78557449|1|3|0|1|78557449|;
1001-18-000081-00|1|1|1|20181228|20181231|20191231||20|6|21|21360|2|1|12882.64|6.44|35.28|0|84219113|262660012|0|0|346879125|1|3|0|1|346879125|;
1001-18-000081-00|2|1|1|20181228|20181231|20191231||20|6|6|21100|2|1|25.66|0.01|0.07|0|0|1596660|0|0|1596660|1|3|0|1|1596660|;
1001-18-000081-00|3|1|1|20181228|20181231|20191231||20|6|6|21100|2|1|572.41|0.28|1.57|0|3187444|1129944|0|0|4317388|1|3|0|1|4317388|;
1002-18-000035-00|1|1|1|20180907|20180815|20190815||20|2|7|77500|1|1|1247235.6|6236.18|471557.57|155904|23581440|0|0|0|23581440|12|3|0|1|23581440|;
1002-18-000035-00|2|1|1|20180907|20180815|20190815||20|2|7|77710|1|1|2078726|10393.63|785929.28|259841|39302400|0|0|0|39302400|3|3|0|1|39302400|;
1002-18-000035-00|3|1|1|20180907|20180815|20190815||20|2|7|63732|1|1|415745.2|2078.73|157185.86|51968|7860480|0|0|0|7860480|2|3|0|1|7860480|;
1002-18-000035-00|4|1|1|20180907|20180815|20190815||20|2|7|23473|1|1|415745.2|2078.73|157185.86|51968|7860480|0|0|0|7860480|6|3|0|1|7860480|;
A1002-18-000002-00|2|1|1|20180402|20180331|20190331||10|2|6|22010|2|2|1260|0.63|949.32|63|75000|350000|0|0|425000|5|2|0|1|425000|;
A1002-18-000002-00|3|1|1|20180402|20180331|20190331||10|2|6|32510|2|2|655|0.32|493.49|33|75000|650000|0|0|725000|5|2|0|1|725000|;
A1002-18-000002-00|4|1|1|20180402|20180331|20190331||10|2|6|37150|2|2|20.74|0.01|15.63|1|25000|138000|0|0|163000|5|2|0|1|163000|;
A1002-18-000002-00|5|1|1|20180402|20180331|20190331||10|2|6|44530|2|2|1260|0.63|949.31|63|5000000|10836126|0|0|15836126|11|2|0|1|15836126|;
A1002-18-000002-00|6|1|1|20180402|20180331|20190331||10|2|6|6500|2|2|2882|1.45|2171.38|144|25000000|37500000|10000000|0|62500000|30|2|0|1|62500000|;
A1002-18-000002-00|7|1|1|20180402|20180331|20190331||10|2|29|4650|2|2|169|0.08|127.33|8|210000|2516000|0|0|2726000|1|2|0|1|2726000|;
A1002-18-000002-00|8|1|1|20180402|20180331|20190331||10|2|29|2230|2|2|5023|2.52|3784.45|251|0|8320000|0|0|8320000|1|2|0|1|8320000|;
A1002-18-000002-00|9|1|1|20180402|20180331|20190331||10|2|6|53125|2|2|404|0.2|304.38|20|1000000|5500000|0|0|6500000|10|2|0|1|6500000|;
A1002-18-000002-00|10|1|1|20180402|20180331|20190331||10|2|6|66265|2|2|439|0.22|330.75|22|250000|6500000|0|0|6750000|11|2|0|1|6750000|;
A1002-18-000002-00|11|1|1|20180402|20180331|20190331||10|2|6|72810|2|2|50|0.03|37.67|3|250000|550000|0|0|800000|11|2|0|1|800000|;
A1002-18-000002-00|12|1|1|20180402|20180331|20190331||10|2|6|76090|2|2|20|0.01|15.06|1|25000|300000|0|0|325000|5|2|0|1|325000|;
A1002-18-000002-00|13|1|1|20180402|20180331|20190331||10|2|6|20020|2|2|10|0|7.53|1|25000|150000|0|0|175000|11|2|0|1|175000|;
A1002-18-000002-00|14|1|1|20180402|20180331|20190331||10|2|6|83270|2|2|6|0|4.52|0|25000|50000|0|0|75000|5|2|0|1|75000|;
A1002-18-000006-00|1|1|1|20180507|20180413|20190413||20|2|99|1080|2|1|3255.82|1.63|2337.05|163|0|112183847|64455622|0|144411658|1|2|0|1|144411658|;
A1002-18-000007-00|2|1|1|20180509|20180430|20190430||20|1|21|52000|2|2|274751.16|137.36|184421.99|13738|137509803|431155719|39302400|0|607967922|1|2|0|1|607967922|;
A1002-18-000007-00|3|1|1|20180509|20180430|20190430||20|1|21|52000|2|2|173367.12|86.68|116369.72|8668|259668834|462027656|39302400|0|687792000|2|2|0|1|687792000|;
A1002-18-000007-00|4|1|1|20180509|20180430|20190430||20|1|21|52000|2|2|8958.42|4.48|6013.18|448|39302400|0|0|0|39302400|2|2|0|1|39302400|;
A1002-18-000007-00|5|1|1|20180509|20180430|20190430||20|1|6|5120|2|2|177.59|0.09|119.2|9|0|3930240|0|0|3930240|5|2|0|1|3930240|;
A1002-18-000007-00|6|1|1|20180509|20180430|20190430||20|1|10|6000|2|2|1460.18|0.73|980.12|73|0|6386640|0|0|6386640|3|2|0|1|6386640|;
A1002-18-000020-00|1|210|2|20180616|20180601|20190601||10|1|1|62790|2|1|79405.76|39.71|25604.18|7941|889248601|9500000|2000000|0|900748601|2|3|0|1|900748601|;
N1002-18-000022-00|1|1|1|20180621|20180531|20190531||20|2|99|98619|2|1|59589900|238359.6|34937640|0|0|0|294768000|0|294768000|1|3|0|1|294768000|;
N1003-18-000017-00|1|1|1|20180604|20180530|20200530||20|2|99|77730|1|1|102196678.5|510983.39|31898122.94|7858924|1375584000|0|0|0|1375584000|1|1|0|1|1375584000|;
